ageClass,sex,nationality,treatment,unique_id
20,M,EST,Control,77d9f73ad6f18a65a417a22614e8635809b1b446
20,M,DNK,Treatment,5dbd14f2eb11d0a56b29cde44dd5cd98111bfdef
45,M,DEU,Control,850d0f1b768ee9c8c3e19fa226fbd27fe2af87d4
35,M,ISR,Treatment,166632911b43cc2a7c945d47431412c6784764b6
35,M,CHE,Control,26f2547318dde31fcd6c29f74bb1c2494e1af874
30,M,FRA,Control,07283196d4827e5a16faf7dbe7ff8e8540bdfdfd
20,W,GBR,Control,e730f796ae683abf3d4d151ababb9d6da18f1ca9
35,M,GBR,Control,daf68bb77b859b09f4f50c6ba81c0ee8735ce46e
40,M,DEU,Control,e8b8b82b1ea0bdac6f80524e4f62163774e28272
35,M,GBR,Treatment,dae2379e19213e9ea7fff107751dc04282e56346
35,M,DEU,Control,1b7b0dee435f918b4c06fb197a484309ecb936bb
40,M,ITA,Control,3713083d24326d4c34dacb03fa89887f971e7667
20,W,GBR,Control,fdf0412e299da1aaddfe7c61214ff7dd9d155258
35,M,CHE,Treatment,e5f523a0fb1f8deab88f9677b526d2e362bb8241
20,W,SWE,Control,fdbbc499c4bf1116f0f63a32fcbe2576b736bfe5
30,M,DEU,Treatment,82a2e773537663c24193830186620f73b3ea3d08
35,M,DEU,Treatment,3f25b7054c5e492b12908947c64857bfa015fd22
45,M,DEU,Control,f18b6c259689adce06325d5ebe16bb6b3eb65a6b
20,M,DEU,Control,b162ed71e67cb09de686b35bd534ebf8c57848c2
20,M,DEU,Treatment,36bd274d6ea5da5838ecddf13de59ffcc46a7648
50,M,DEU,Control,07ef354ee33a07219b0b8123ce6b52be7cb6f180
55,M,NLD,Control,c5d35b71ad54a5388ca94375d7094a418358b7ea
20,M,DEU,Control,af03cae5c214b86c1a2f0697a04e1ee1f784f66a
45,M,DEU,Control,2ece6ffb82919c8205950d8a779db21f7f911589
35,M,DEU,Control,75c09568c12c59d1efd8a6f2262567c2cebc28ca
35,M,NOR,Control,a639bf5c7fa8fbde7ddc2e317dba7c869fec6e06
35,M,DEU,Treatment,4be58a1f76da314410bb89cf6f2d247fc90cdb04
45,M,DNK,Treatment,aea5b7950f1d9128fe2887b4df8195a81de5a2a3
30,M,DEU,Treatment,17d1cb2e7b42bb63b4928ddb0b40a2508cd0a1ad
40,M,AUT,Control,67ceea4020514fb09e49bab8e72b366d233be276
40,M,FRA,Control,cafc354319a2afb74c651a33289f6a2374373bdc
35,M,GAN,Treatment,ad9ce19a7ead9ad5f9da64ae8af3418279256aaa
35,M,DEU,Treatment,d75903d036aaf6496158a33a9a1db5d5afe83a49
35,M,DEU,Treatment,638a91b796125e7ef8c04b6a41bc80b88ac5d6d1
50,M,DEU,Control,5e0492b3846d8e98a0fadd41e0cc007242622a1c
20,M,DEU,Control,0d8df7ff55f2ef6a1232a3aeb289991aa063b937
40,M,POL,Control,0941936f3bd59d1734f206ac23452728f3919046
30,M,GBR,Treatment,c413809a287f96c34ae4c904bc16b21d46d06703
20,M,DNK,Control,7dce95807aa5e2e66fabbbcb9f968d51cccd9067
20,M,FRA,Control,c9ef8066a718476e62f6123b41a568a7488aead6
